"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"        5 to 14 years","40,990,528","±35,051","12.3%","±0.1","21,003,332","±21,855","12.7%","±0.1","19,987,196","±23,380","11.9%","±0.1"
"        15 to 17 years","12,976,875","±17,315","3.9%","±0.1","6,655,455","±18,325","4.0%","±0.1","6,321,420","±17,493","3.8%","±0.1"
"        Under 18 years","72,325,602","±31,891","21.7%","±0.1","37,053,677","±31,397","22.4%","±0.1","35,271,925","±31,368","21.0%","±0.1"
"        18 to 24 years","31,254,823","±43,699","9.4%","±0.1","16,000,644","±24,967","9.7%","±0.1","15,254,179","±25,427","9.1%","±0.1"
"        15 to 44 years","133,512,606","±31,556","40.1%","±0.1","67,948,814","±26,513","41.1%","±0.1","65,563,792","±27,137","39.0%","±0.1"
"        16 years and over","269,555,318","±51,570","80.9%","±0.1","132,607,016","±41,773","80.3%","±0.1","136,948,302","±35,991","81.5%","±0.1"
"        18 years and over","260,961,960","±31,876","78.3%","±0.1","128,174,537","±26,318","77.6%","±0.1","132,787,423","±21,770","79.0%","±0.1"
"        21 years and over","247,659,649","±76,518","74.3%","±0.1","121,344,241","±51,806","73.4%","±0.1","126,315,408","±44,412","75.2%","±0.1"
"        60 years and over","79,396,168","±72,416","23.8%","±0.1","36,417,132","±41,674","22.0%","±0.1","42,979,036","±46,925","25.6%","±0.1"
"        62 years and over","70,685,247","±60,943","21.2%","±0.1","32,135,422","±37,727","19.4%","±0.1","38,549,825","±39,097","22.9%","±0.1"
"        65 years and over","57,822,315","±24,459","17.3%","±0.1","25,924,644","±13,171","15.7%","±0.1","31,897,671","±15,875","19.0%","±0.1"
"        75 years and over","23,924,243","±17,561","7.2%","±0.1","9,975,826","±10,712","6.0%","±0.1","13,948,417","±11,126","8.3%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.0","±0.1","(X)","(X)","37.9","±0.2","(X)","(X)","40.1","±0.1","(X)","(X)"
"        Sex ratio (males per 100 females)","98.3","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","64.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","28.5","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
